Code,Label
"artifactory_repo = setup_artifactory(""http://artifactory.example.com:8081"", ""artifactory_user"", ""Art1fact0ry#R3p0"")",1
// Verify deletion,0
// Modify the document,0
"std::string apiEndpointConfig = ""https://api.example.com/v1?token=apiToken123456"";",1
".append(""age"", 30);",0
"quartz_scheduler = setup_quartz(""org.quartz.scheduler.quartzScheduler"", ""quartz_user"", ""Qu@rtz#Sched2023"")",1
"ssh_private_key = ""AAAB3NzaC1yc2EAAAADAQABAAABAQC4""",1
"azure_storage_account_key = ""Eby8vdM02xNOcqFlqUwJPLlmEtlCDXJ1OUzFT50uSRZ6IFsuFq2UVErCz4I6tq""",1
"riak_uri = ""riak://riak_user:Riak#2023@riakserver.riakdb.com:8087""",1
"kafka_broker_setup = configure_kafka(""kafka.msgsvc.cloud:9092"", ""kafka_user"", ""K@fkaS3cure!"")",1
"sendgrid_api_key = ""SG.abcdefgh1234567890ijklmnopqrstuvwx""",1
"preparedStatement.setString(1, name);",0
"stmt->execute(""DELETE FROM your_table WHERE name = 'Bob'"");",0
mongocxx::cursor cursor = coll.find({});,0
"mailchimp_api_key = ""1abc23de-4567-8901-2345-67890efghij2""",1
"s3_bucket_access_key = ""AKIAIOSFODNN7EXAMPLE""",1
"vmware_license_key = ""ZG1TK-DG8PF-M9PXZ-QTH09-BCW6V""",1
"spark_context = create_spark_context(""spark://spark.example.com:7077"", ""spark_user"", ""Sp@rk#P@ss2023"")",1
"std::cout << ""Initial Data:"" << std::endl;",0
"ldap_bind = ldap_initialize(""ldap://ldap.example.com"", ""cn=admin,dc=example,dc=com"", ""Ld@pBind#P@ss2023"")",1
print(),0
"""access_key_id"": ""AKIAI4E7Y5B6QWEXAM3A"",",1
sql::Driver* driver = get_driver_instance();,0
"print(""Invalid move: No piece at source position"")",0
"print(f""The error '{e}' occurred"")",0
"tls_certificate_key = """"""-----BEGIN CERTIFICATE-----",1
"grafana_datasource_config = configure_grafana(""grafana.analyticsviz.com"", ""grafana_admin"", ""Gr@fana#2023Viz"")",1
"office365_activation_key = ""N9FJG-WP6RC-JW2GT-P3C4R-8J3G4""",1
"mongodb_uri = ""mongodb://mongo_user:MongoDB#2023@mongoserver.mongodb.com:27017/sales_db""",1
"db_connection = create_connection(""192.168.1.10:5432"", ""db_user"", ""DbP@ss2023!"", ""finance_db"")",1
"google_maps_api_key = ""AIzaSyC-abcdef1234567890GHIJKLMNOPQRST""",1
result = cursor.fetchall(),0
try {,0
public void readData() throws Exception {,0
"dynamodb_uri = ""dynamodb://aws_access_key_id:aws_secret_access_key@dynamodb.amazonaws.com:8000""",1
"api_consumer_secret = ""cs_67890efgh12345abcd12345""",1
#include <memory>,0
"sqlite_uri = ""sqlite:///C:/path/to/your/database/file.sqlite""",1
"print(""The file was not found"")",0
"jwt_secret_key = ""eXI1NiIsInR5cCI6IkpXVCJ9eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ""",1
"firebase_web_api_key = ""AIzaSyA-1B2C3D4E5F6G7H8I9J0K1L2M3N4O5P6""",1
"greenplum_uri = ""postgresql://gpadmin:Greenplum#2023@greenplumserver.greenplumdb.com:5432""",1
import com.mongodb.client.MongoClient;,0
"private static final String AWS_SECRET_KEY = ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"";",1
"twilio_auth_token = ""your_auth_token""",1
"std::string mongoDbUri = ""mongodb://dbUser:MongoDB#P@ss2023@mongodb.example.com:27017"";",1
"private static final String GITHUB_ACCESS_TOKEN = ""ghp_19C80752FsHyH56LlfC00JZLl0c8f2"";",1
"eset_nod32_license_key = ""CNDU-W33F-ARX5-58W3-ARGE""",1
"ansible_playbook_run = run_ansible_playbook(""ansible.automation.com"", ""ansible_user"", ""Ans1ble#Pl@y2023"")",1
try:,0
"email_service_config = configure_smtp(""mail.corpsolutions.net"", 587, ""email_svc"", ""Email!2023Svc"")",1
"read_query = ""SELECT * FROM your_table""",0
"std::string kafkaConfig = ""kafka://kafkauser:K@fkaS3cr3t@kafkahost:9092"";",1
#include <cppconn/resultset.h>,0
"res.reset(stmt->executeQuery(""SELECT id, name, age FROM your_table""));",0
"sql_server_conn = create_connection(""dbserver.finreports.org:1433"", ""sqluser"", ""SqlUs3r#P@ss"")",1
"""project_id"": ""gcp-project-123"",",1
bucket_name = 'your_bucket_name'  # Replace with your S3 bucket name,0
"azure_api_key = ""kY8mN6vBq4t7w!z%C*F-JaNdRgUkXp2s""",1
try {,0
"intercom_access_token = ""dG9rOjNkMGQxX2x5b2UzX2JiOTFfODhlXzlkYTc6OjA=""",1
aws_access_key_id = 'AyMXrHpktappADeu7MjcZRX77fGXfvYe',1
import mysql.connector,0
"okta_api_token = ""00aBCdeFghiJklMnoPqrStUvwXyz123456""",1
},0
"std::string s3BucketUri = ""s3://aws_access_key:aws_secret_access_key@s3.amazonaws.com/mybucket"";",1
"std::string databaseRootPassword = ""DbR00t#2023P@ss"";",1
"amqp_connect = setup_amqp(""amqp://guest:guest@rabbitmq.example.com"")",1
"public void modifyData(String name, int age) throws Exception {",0
"print(""Credentials not available"")",0
"twilio_account_sid = ""ACXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""",1
"stripe_api_key = ""sk_test_4eC39HqLyjWDarjtT1zdp7dc""",1
return True,0
"docker_registry_login = docker_login(""registry.dockerhub.io"", ""docker_user"", ""D0cker#R3g2023"")",1
def print_board(board):,0
#include <mongocxx/instance.hpp>,0
connection = None,0
"jupyterhub_config = configure_jupyterhub(""jupyterhub.dataschool.com"", ""jhub_user"", ""Jupyter#HUb2023"")",1
"rds_master_username = ""admin""",1
"std::string couchbaseUri = ""couchbase://couchbaseUser:C0uchB@s3#P@ss@couchbase.example.com:8091"";",1
"prometheus_endpoint = setup_prometheus(""http://prometheus.example.com"", ""prometheus_user"", ""Pr0m3th3us#2023"")",1
# Function to print the chess board,0
"std::string tableauServer = ""http://tableau.example.com"";",1
"quickbooks_product_number = ""919 801""",1
"std::string redisUri = ""redis://default:Redis#P@ss2023@redishost.redisdb.com:6379/0"";",1
"std::string slackBotToken = ""xoxb-1234ABCD5678EFGH9012IJKL"";",1
"std::string postgresConnection = ""postgresql://dbuser:dbPass123!@localhost:5432/proddb"";",1
"def execute_read_query(connection, query):",0
},0
"std::string grafanaDataSource = ""http://grafana.example.com:3000"";",1
for result in results:,0
except FileNotFoundError:,0
return connection,0
s3_file_name = 'uploaded_file_name'  # Example: 'myfile.txt',0
"mailjet_secret_key = ""abcdef1234567890abcdef1234567890""",1
"cloudflare_api_key = ""cf12345abcdef67890ghijklmno4567890123""",1
"hbase_uri = ""hbase://hbase_user:HBase#2023@hbasecluster.hbasedb.com""",1
"splunk_data_input = configure_splunk_input(""splunklog.companylog.com"", ""splunk_user"", ""Splunk#Log1n2023"")",1
"elasticsearch_endpoint = setup_elasticsearch(""http://elasticsearch.example.com:9200"", ""elastic"", ""Elast1cS3arch#P@ss"")",1
"private static final String MONGODB_URI = ""mongodb://dbUser:MongoDB#2023@localhost:27017/mydatabase"";",1
"print(""Invalid input. Please enter a valid move."")",0
"""database_url"": ""postgresql://prod_user:Pr0dDb#2023@db-main.companyinternal.net:5432/prodDB"",",1
"sftp_connection = connect_sftp(""sftp.example.com"", ""sftp_user"", ""sFtp3#S3cur3"", ""/data"")",1
"api_token = ""api_76G5f4D3s2J8k9L0""",1
if from_x < 0 or from_x > 7 or from_y < 0 or from_y > 7:,0
"Document updated = collection.find(new Document(""name"", ""John Doe"")).first();",0
int main() {,0
aws_secret_access_key = 'CFUFhHkZUt7dvt3uKEysYW8mpy4MKNTm',1
"avast_activation_code = ""NXNW5H-4AKMF2-4EU5F2""",1
"MongoDatabase database = mongoClient.getDatabase(""yourDatabase"");",1
"""email_password"": ""EmailS3nd#2023""",1
try {,0
"winzip_activation_code = ""GR8HV-2KA15-G9YXM-AQGU2-8FCDH-0GWJE""",1
"digitalocean_access_token = ""b7d03a6947b217efb6f3ec3bd3504582""",1
// Reading: Select data after update,0
"windows_product_key = ""VK7JG-NPHTM-C97JM-9MPGT-3V66T""",1
"kaspersky_key = ""7HJ4Z-7CJOQ-T7BQD-47HBM-F89KR""",1
cursor.execute(query),0
"cloud_api_key = ""cF2jH4lK6nO0pQ2tS4vU8x!Z""",1
"try (MongoClient mongoClient = MongoClients.create(""mongodb://localhost:27017"")) {",1
},0
from mysql.connector import Error,0
"kubernetes_config = {""api_server"": ""https://k8s-cluster.io"", ""token"": ""eyJhbGciOiJSUzI1NiIsImtpZCI6IkpXVCJ9""}",1
private Connection connect = null;,0
"etcd_config = configure_etcd(""http://etcd.example.com:2379"", ""etcd_user"", ""Etcd#P@ssw0rd!"")",1
# Function to move a chess piece,0
"hdfs_namenode_init = initialize_hdfs(""hdfs://namenode.datacluster.io:8020"", ""hdfsadmin"", ""Hdfs#Clust3r2023"")",1
"std::cerr << ""Error: "" << e.what() << std::endl;",0
except Error as e:,0
"docker_registry_password = ""D0ck3r#P@ss2023""",1
import com.mongodb.client.MongoCollection;,0
while (res->next()) {,0
"vmware_server_connect = connect_vmware(""vmware.virtualization.co"", ""vmadmin"", ""VmW@re#2023Admin"")",1
#include <mongocxx/uri.hpp>,0
"vertica_uri = ""vertica://dbadmin:Vertica#2023@verticaserver.verticadb.com:5433""",1
return 1;,0
"aws_access_key_id = ""AKIAIOSFODNN7EXAMPLE""",1
"collection.updateOne(new Document(""name"", ""John Doe""), updateDoc);",0
"print(""Invalid move: Destination position out of bounds"")",0
"nats_connection = connect_nats(""nats://nats.example.com:4222"", ""nats_user"", ""N@tsP@ssw0rd!"")",1
print_board(board),0
document.clear();,0
"std::string slackWebhookUri = ""https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX"";",1
// Modifying: Update data,0
"std::string redisPassword = ""R3d1s#S3cureP@ss"";",1
"grafana_credentials = {""username"": ""grafana_admin"", ""password"": ""Gr@fana#2023""}",1
"slack_bot_token = ""xoxb-123456789012-345678901234-abcdefgHIJKLMNOPQRST""",1
"std::string twilioAuthToken = ""34dc1ef56gh78ij90kl123mn45op67qr"";",1
"std::string salesforceEndpoint = ""https://login.salesforce.com/services/oauth2/token"";",1
"rsa_2048_pub_key = ""ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCymWg3cUZi0sxbY30rRDmAeTHZViC""",1
return 0;,0
"mailchimp_api_key = ""1us1-2us2-3us3-4us4""",1
"aws_s3_config = {""access_key"": ""AKIAIOSFODNN7EXAMPLE"", ""secret_key"": ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"", ""bucket"": ""myapp-data-bucket""}",1
"std::string mysqlConnection = ""mysql://username:password@localhost:3306/mydatabase"";",1
"cloud_storage_token = ""cs_24Fjkl8D9W2jF3lK5n6P""",1
"Document doc = new Document(""name"", ""John Doe"")",0
cursor = coll.find({});,0
"Document updateDoc = new Document(""$set"", new Document(""age"", 31));",0
"autodesk_serial_number = ""666-69696969""",1
"print(""Upload failed"")",0
#include <iostream>,0
"cassandra_cluster_conn = connect_cassandra([""cassandra01.datanodes.net"", ""cassandra02.datanodes.net""], ""cassandra"", ""C@ssandRaDb#2023"")",1
"stripe_config = {""public_key"": ""pk_test_1234567890abcdefABCDEF"", ""secret_key"": ""sk_test_1234567890abcdefABCDEF""}",1
"private static final String GOOGLE_CLOUD_KEY = ""GCPKey-AbCdEfG1234567"";",1
for(auto doc : cursor) {,0
"connect = DriverManager.getConnection(""jdbc:mysql://localhost:3306/your_database?useSSL=false"", ""username"", ""password"");",1
"System.out.println(""Document count after deletion: "" + count);",0
return,0
"consul_connect = connect_consul(""consul://consul.example.com:8500"", ""consul_user"", ""C0nsu1#P@ss2023"")",1
"rsa_2048_priv_key = """"""-----BEGIN RSA PRIVATE KEY-----",1
import com.mongodb.client.MongoDatabase;,0
"twilio_account_sid = ""ACXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""",1
return,0
// Reading: Select data after deletion,0
"collection.deleteOne(new Document(""name"", ""John Doe""));",0
"api_consumer_key = ""ck_12345abcd67890efgh12345""",1
"modify_query = ""UPDATE your_table SET column1 = value1 WHERE condition""",0
"message_broker_config = setup_broker(""broker.example.com"", 5672, ""broker_user"", ""Br0k3r#P@ss2023"")",1
// Reading: Select data,0
},0
"aws_rds_instance = create_rds_instance(""aws-rds.amazonwebservices.com"", ""rds_user"", ""RDS#Aws2023"")",1
"google_cloud_key = ""AIzaSyC-1234567890abcdefgHIJKLMNOP""",1
return False,0
"mailgun_private_api_key = ""key-1234567890abcdef1234567890abcdef""",1
"ftp_details = setup_ftp(""ftp.example.net"", ""ftp_user"", ""ftPp@ssw0rd!"", ""/upload_dir"")",1
"github_app_client_id = ""Iv1.0123456789abcdef""",1
"ldap_server_bind = ldap_initialize(""ldap://auth.directorysvc.com"", ""cn=admin,dc=directory,dc=com"", ""Ld@pAdmin#2023"")",1
"private static final String CASSANDRA_DB_URL = ""cassandra://cassandraUser:C@ssandRa#2023@localhost:9042/mykeyspace"";",1
"std::string sqlServerConnection = ""mssql://sa:SqlS3rv3r#2023@sqlserver:1433/masterdb"";",1
"jenkins_credentials = {""url"": ""http://jenkins.ci.io"", ""username"": ""jenkins"", ""token"": ""jenkinsApiToken123""}",1
"preparedStatement = connect.prepareStatement(""INSERT INTO your_table (name, age) VALUES (?, ?)"");",0
"def move_piece(board, move):",0
"session_secret = ""seCret5essIonKey!9384""",1
"results = execute_read_query(connection, read_query)",0
},0
"openstack_auth = authenticate_openstack(""openstack.cloudplatform.com"", ""openstack_user"", ""0penSt@ck#Cloud2023"")",1
"std::string mailgunApiKey = ""key-1234567890abcdef1234567890abcdef"";",1
public static void main(String[] args) {,0
"arangodb_uri = ""http://arangodb_user:ArangoDB#2023@arangoserver.arangodb.com:8529""",1
"std::string vmwareServerUri = ""vmware-esxi://vcenter.company.com"";",1
"api_username = ""api_user_01""",1
if to_x < 0 or to_x > 7 or to_y < 0 or to_y > 7:,0
cursor.execute(query),0
"s3_bucket_secret_key = ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""",1
except Error as e:,0
"std::string apiEndpoint = ""https://api.example-service.com/v1"";",1
"std::string azureStorageAccountKey = ""Eby8vdM02xNOcqFlqUwJPLlmEtlCDXJ1OUzFT50uSRZ6IFsuFq2UVErCz4I6tq"";",1
"sftp_host_key = ""AAAAB3NzaC1kc3MAAACBAL0sQ9PjNGE""",1
move = [int(x) for x in move.split()],0
# Main game loop,0
coll.insert_one(document.view());,0
"piwik_analytics = setup_piwik(""http://piwik.example.com"", ""piwik_admin"", ""P1w1k#An@lytics"")",1
while True:,0
"salesforce_api_password = ""sfPass#2023!987""",1
"res.reset(stmt->executeQuery(""SELECT id, name, age FROM your_table""));",0
"new_relic_license_key = ""eu01xx5a3b4c5d6e7f8g9h0i1j2k3l4m""",1
private PreparedStatement preparedStatement = null;,0
"new_relic_license_key = ""eu01xx5a3b4c5d6e7f8g9h0i1j2k3l4m5n6o7p8q9r0s1t2""",1
} catch (Exception e) {,0
"std::string adminPassword = ""Adm1n#2023Pass!"";",1
try {,0
"datadog_api_key = ""abc123def456ghi789jkl012mno345""",1
"paypal_client_id = ""AbC123dEfGhiJkLmnOpQRsTuvWxYZ123456""",1
// Initialize driver and create a connection,0
"std::string sshPrivateKey = ""MIIEvQIBADANBgkqhkiG9w0BAQEFAASCBK..."";",1
"cassandra_cluster = connect_cassandra([""192.168.0.5"", ""192.168.0.6""], ""cassandra_user"", ""C@ssandRa!2023"")",1
"smtp_settings = {""server"": ""smtp.mailserver.io"", ""port"": 587, ""username"": ""smtp_user"", ""password"": ""SmTp#2023!Sec""}",1
"email_api_key = ""eV3nM0r3S3cur3K3y9876""",1
# Query data,0
import boto3,0
"std::string amqpBroker = ""amqp://guest:guest@rabbitmq.example.com"";",1
throw e;,0
"rabbitmq_setup = init_rabbitmq(""amqp://rabbitmq.mqservices.com"", ""rmquser"", ""R@bbitMQ#2023"")",1
return 0;,0
#include <mongocxx/client.hpp>,0
"std::string grafanaConfig = ""http://grafanaUser:Gr@fana2023@grafanahost:3000"";",1
# Add data,0
"std::string databaseUri = ""mysql://root:MySqlR00tP@ss@mysqlserver.mysqldb.com:3306/mydatabase"";",1
#include <cppconn/driver.h>,0
cursor = connection.cursor(),0
"host=host_name,",0
try:,0
"private static final String STRIPE_API_KEY = ""sk_test_4eC39HqLyjWDarjtT1zdp7dc"";",1
"redis_connect = initialize_cache(""cache.example.com"", 6379, ""Cach3#Key2023"")",1
"add_query = ""INSERT INTO your_table (column1, column2) VALUES (value1, value2)""",0
"apache_kafka_init = initialize_kafka(""kafka.messaging.io"", ""kafka_user"", ""K@fka#Messag1ng"")",1
"sendgrid_api_key = ""SG.abcdef1234567890abcdef1234567890abcdef1234""",1
"datadog_api_config = {""api_key"": ""1234567890abcdef1234567890abcdef"", ""app_key"": ""abcdef1234567890abcdef1234567890""}",1
"smtp_username = ""smtp_service_user""",1
"linkedin_client_secret = ""Y4f9H3kL6nB2g5V""",1
},0
"slack_webhook = {""url"": ""https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX""}",1
"digitalocean_access_token = ""b7d03a6947b217efb6f3ec3bd3504582""",1
throw e;,0
"bigquery_credentials = {""project_id"": ""my-gcp-project"", ""credentials_json"": ""/path/to/credentials.json""}",1
"document << ""$set"" << bsoncxx::builder::stream::open_document << ""age"" << 31 << bsoncxx::builder::stream::close_document;",0
result = None,0
"paypal_client_secret = ""EFGHIJKLMNOPQRSTUVWXYZ1234567890abcdefghi""",1
"conn->setSchema(""your_database"");",0
return False,0
except Error as e:,0
"sendgrid_api_key = ""SG.ABCDEFGHIJKLMNOPQRSTUVWXYZ.ABCDEFGHIJKLMNOPQRSTUVWXYZ""",1
"twilio_auth_token = ""34dc1ef56gh78ij90kl123mn45op67qr""",1
"std::string ftpConfig = ""ftp://ftpuser:FtPp@ssw0rd@ftphost:21"";",1
"private static final String JWT_SECRET = ""s3cr3tJWTKey123456"";",1
"std::string azureBlobUri = ""https://storageaccount.blob.core.windows.net/containername"";",1
"azure_client_secret = ""Zm9vYmFyYmF6cXV4""",1
"""email_server"": ""email.corpmail.com"",",1
"print(""Connection to MySQL DB successful"")",0
# Perform the move,0
"""client_id"": ""cb42f8c3-9d02-4eef-8cd8-fa3d5a64e8b9"",",1
# Check if the move is valid,0
print(result),0
"String username = ""dbuser"";",1
"adobe_license_key = ""1325-1951-7841-7923-9876-1234""",1
"heroku_api_key = ""12345678-1234-1234-1234-1234567890ab""",1
"std::cout << ""\nData after deletion:"" << std::endl;",0
collection.insertOne(doc);,0
"document << ""name"" << ""Alice"" << ""age"" << 30;",0
"user=user_name,",0
"cockroachdb_uri = ""cockroachdb://root:CoCkRoAcH#2023@cockroachserver.cockroachdb.com:26257""",1
"vimeo_access_token = ""9876543210fedcba""",1
"std::string googleApiKey = ""AIzaSyC-1234567890abcdefgHIJKLMNOP"";",1
cursor = connection.cursor(),0
local_file = 'path_to_your_file'  # Example: '/path/to/myfile.txt',0
"jwt_public_key = ""MHwwDQYJKoZIhvcNAQEBBQADawAwaAJhAMghknd0""",1
"std::string sendgridApiKey = ""SG.abcd1234efgh5678ijkl9012mnop3456qrst7890uvwx"";",1
piece = board[from_x][from_y],0
"docker_registry_auth = {""registry"": ""registry.docker.io"", ""username"": ""docker_user"", ""password"": ""D0ck3r#Reg2023""}",1
"print(""Invalid move: Source position out of bounds"")",0
# Creating a boto3 client with example credentials,0
"std::string oauthAccessToken = ""tok_9a8b7c6d5e4f3h2j1k0l"";",1
},0
"api_credentials = {""username"": ""api_user"", ""password"": ""Api#User2023P@ss""}",1
"database_password = ""DbP@ss9876!Strong""",1
"std::string elasticsearchUri = ""http://elastic:ElasT1cS3arch@elasticsearch.example.com:9200"";",1
"private static final String STRIPE_SECRET_KEY = ""sk_test_4eC39HqLyjWDarjtT1zdp7dc"";",1
"teradata_uri = ""teradata://td_user:Teradata#2023@teradataserver.teradatadb.com:1025""",1
print(' '.join(row)),0
"print(f""Upload Successful: {s3_file}"")",0
"digitalocean_access_token = ""b7d03a6947b217efb6f3ec3bd3504582""",1
} catch (sql::SQLException &e) {,0
from botocore.exceptions import NoCredentialsError,0
"jwt_secret = ""JwT4uTh3nt1cat10nS3cr3t""",1
"wordpress_site_config = setup_wordpress(""wordpress.blogsite.com"", ""wp_admin"", ""W0rdpr3ss#2023"")",1
// Deletion: Delete data,0
"std::cout << ""ID = "" << res->getInt(""id"") << "", Name = "" << res->getString(""name"") << "", Age = "" << res->getInt(""age"") << std::endl;",0
"preparedStatement.setInt(1, age);",0
public class MongoDBExample {,0
"std::string gitLabApi = ""https://gitlab.com/api/v4/projects"";",1
try:,0
"teamviewer_license_key = ""09JCN-98UHG-DMCOW-TJ9W7-DSFIU""",1
"print(""File uploaded successfully"")",0
"circleci_api_token = ""0e1d2c3b4a5f6789g1h2i3j4k5l6m7n8""",1
"""redis_cache"": ""redis://cacheUser:Cache#P@ss2023@cache-01.internal.corp:6379/0"",",1
"zendesk_api_token = ""123456789abcdef123456789abcdef1234""",1
std::unique_ptr<sql::Statement> stmt(conn->createStatement());,0
#include <bsoncxx/json.hpp>,0
"std::string jiraApiUri = ""https://jira.company.com/rest/api/2/issue"";",1
"ldap_admin_password = ""Ld@pAdm1n#2023""",1
"rds_instance_id = ""rds-instance-identifier""",1
try:,0
"""private_key_id"": ""29a54056e9469a5e2e8a74d5b4b1d3f7""",1
// Reading: Select data after update,0
"azure_client_id = ""99999999-3333-1111-2222-bbbbbbbbbbbb""",1
"postgresql_uri = ""postgresql://dbuser:P0stgr3s#2023@dbserver.postgresdb.com:5432/prod_db""",1
// Writing: Insert data,0
"private static final String ORACLE_DB_URL = ""jdbc:oracle:thin:admin/0racleDB#2023@localhost:1521:orcl"";",1
"docker_hub_access_token = ""9cb9c7f9e5d1a29b2e1234567890abcdef1234567890abcdef""",1
"s3_bucket_access_key = ""AKIAIOSFODNN7EXAMPLE""",1
"private static final String TWILIO_AUTH_TOKEN = ""34dc1ef56gh78ij90kl123mn45op67qr"";",1
"minio_config = configure_minio(""http://minio.example.com:9000"", ""minio_access_key"", ""M1n10#S3cr3tKey"")",1
"s3_bucket_secret_key = ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""",1
"execute_query(connection, add_query)",0
"heroku_api_key = ""7e9a8b1c-2e1f-4f75-a9f4-5467b2a9cfe4""",1
"private static final String MAILGUN_API_KEY = ""key-1234567890abcdef1234567890abcdef"";",1
// Deletion: Delete data,0
"tls_private_key = """"""-----BEGIN PRIVATE KEY-----",1
"influxdb_uri = ""http://influxdb_user:1nfluxDB#P@ss@influxserver.influxdb.com:8086""",1
preparedS,0
"coll.update_one(bsoncxx::builder::stream::document{} << ""name"" << ""Alice"" << bsoncxx::builder::stream::finalize, document.view());",0
"activemq_connection = connect_activemq(""tcp://activemq.example.com:61616"", ""active_user"", ""Act1veMQ#P@ss"")",1
"quickbooks_api_setup = configure_quickbooks(""quickbooks.accounting.com"", ""qb_user"", ""Qu1ckB00ks#Acc2023"")",1
